Date Received;Requestor;Event Location;Event Start Date;Event End Date;Permit Status;Approved or Denied
01/01/2012;Coalition Against NATO/G8 War & Poverty Agenda;Daley Center;05/19/2012;05/19/2012;;Withdrew 
01/04/2012;National Nurses United;Daley Center;05/18/2012;05/18/2012;;Approved
01/05/2012;Illinois Policy Institute;Daley Center;01/11/2012;01/11/2012;;Withdrew 
01/09/2012;Tribeca Flashpoint Media Arts Academy;Daley Center;01/12/2012;01/12/2012;;Withdrew
01/09/2012;Northern Illinois United Methodist Women ;Daley Center;01/30/2012;01/30/2012;;Approved
01/18/2012;City Year Chicago;Daley Center;01/20/2012;01/20/2012;;Approved
01/31/2012;Navy Pier, Inc.;Daley Center;02/02/2012;03/16/2012;;Approved
01/31/2012;NBC/Shed Media USA;Daley Center;02/22/2012;02/22/2012;;Withdrew 
02/02/2012;Citizen's Official Services;Daley Center;03/30/2012;03/31/2012;;Approved
02/02/2012;Rape Victim Advocates;Daley Center;04/27/2012;04/27/2012;;Approved
02/06/2012;Fashion Market;Daley Center;06/01/2012;09/01/2012;;Denied
02/07/2012;City Year Chicago;Daley Center;02/17/2012;02/17/2012;;Approved
02/08/2012;Immigrant Youth Justice League;Daley Center;03/10/2012;03/10/2012;;Approved
02/09/2012;American Diabetes Association;Daley Center;03/27/2012;03/27/2012;;Approved
02/09/2012;Chicago Scenic Studio;Daley Center;03/27/2012;03/27/2012;;Denied
02/14/2012;Communion and Liberation;Daley Center;04/06/2012;04/06/2012;;Approved
02/16/2012;Consulate General of Republic of Bulgaria;Daley Center;03/02/2012;03/02/2012;;Approved
02/21/2012;Ogilvy Action;Daley Center;04/04/2012;04/04/2012;;Denied
02/21/2012;Department of Cultural Affairs and Special Events;Daley Center;07/09/2012;07/10/2012;;Approved
02/22/2012;Consulate General De France;Daley Center;07/14/2012;07/14/2012;;Approved
02/27/2012;Episcopal Diocese of Chicago;Daley Center;04/02/2012;04/02/2012;;Approved
02/27/2012;City Year Chicago;Daley Center;03/16/2012;03/16/2012;;Approved
02/27/2012;City Year Chicago;Daley Center;04/02/2012;04/02/2012;;Approved
02/27/2012;City Year Chicago;Daley Center;05/04/2012;05/04/2012;;Approved
02/27/2012;Episcopal Diocese of Chicago;Daley Center;04/02/2012;04/02/2012;;Approved
03/01/2012;Thomas Moore Society;Daley Center;04/12/2012;04/15/2012;;Approved
03/02/2012;Susan Basko;Daley Center;05/20/2012;05/20/2012;;Withdrew
03/06/2012;Coalition Against NATO/G8 War & Poverty Agenda;Daley Center;05/20/2012;05/20/2012;;Withdrew
03/07/2012;United Against the War on War;Daley Center;04/28/2012;04/28/2012;;Withdrew
03/09/2012;Chicago Cares;Daley Center;06/09/2012;06/09/2012;;Approved
03/12/2012;The Realm, Ltd;Daley Center;08/27/2012;08/31/2012;;Approved
03/13/2012;Boss Kane Productions;Daley Center;03/23/2012;03/23/2012;;Approved
03/14/2012;Illinois Coalition for Immigrant and Refugee Rights;Daley Center;06/14/2012;06/14/2012;;Approved
03/14/2012;8th Day Center for Justice;Daley Center;04/06/2012;04/06/2012;;Approved
03/15/2012;Chicago Tea Party;Daley Center;04/16/2012;04/16/2012;;Approved
03/19/2012;German American Services;Daley Center;09/01/2012;10/01/2012;;Withdrew
03/20/2012;Community Sports Fans;Daley Center;07/06/2012;07/06/2012;;Withdrew
03/21/2012;City of Chicago - Department of Streets and Sanitation;Daley Center;04/20/2012;05/04/2012;;Approved
03/22/2012;Courtside Ministries;Daley Center;06/20/2012;07/25/2012;;Approved
03/23/2012;Department of Business Affairs and Consumer Protection;Daley Center;05/09/2012;05/09/2012;;Approved
03/23/2012;Chicago Children's Advocacy Center;Daley Center;04/30/2012;04/30/2012;;Approved
03/26/2012;Disability Pride Parade Association;Daley Center;07/21/2012;07/21/2012;;Approved
04/05/2012;Sharon Cail;Daley Center;05/12/2012;05/12/2012;;Approved
04/10/2012;Croatian American Day Committee;Daley Center;05/11/2012;05/11/2012;;Approved
04/10/2012;Illinois NORML;Daley Center;05/05/2012;05/05/2012;;Approved
04/10/2012;City Year Chicago;Daley Center;04/27/2012;04/27/2012;;Approved
04/11/2012;Talented 10th University;Daley Center;07/12/2012;07/12/2012;;Withdrew
04/11/2012;German American Chamber of Commerce (das haus);Daley Center;09/14/2012;10/04/2012;;Approved
04/17/2012;Coldwell Banker Leader Realty;Daley Center;06/17/2012;06/17/2012;;Withdrew
04/17/2012;Horn of Bible Fellowship;Daley Center;06/23/2012;06/23/2012;;Approved
04/23/2012;Stand Up Chicago;Daley Center;05/23/2012;05/23/2012;;Withdrew
04/23/2012;ALS Association Greater Chicago Chapter;Daley Center;05/29/2012;05/30/2012;;Approved
04/24/2012;Department of Cultural Affairs and Special Events;Daley Center;05/26/2012;05/26/2012;;Approved
04/24/2012;Consulate General of the Republic of Lithuania;Daley Center;06/01/2012;06/01/2012;;Approved
05/01/2012;Forest Preserve District of Cook County;Daley Center;06/06/2012;06/06/2012;;Approved
05/08/2012;Indian Graduate Students and Scholars Association ;Daley Center;05/11/2012;05/11/2012;;Approved
05/15/2012;Chicago Office of Tourism;Daley Center;07/17/2012;07/18/2012;;Approved
05/16/2012;Sathya Sai Baba Centers of Chicagoland;Daley Center;08/11/2012;08/11/2012;;Approved
05/17/2012;Department of Cultural Affairs and Special Events;Daley Center;05/24/2012;10/18/2012;;Approved
05/24/2012;Gorgeous Enterprises;Daley Center;05/27/2012;05/27/2012;;Withdrew
05/24/2012;Chicago Sister Cities;Daley Center;08/06/2012;08/10/2012;;Approved
05/30/2012;Department of Cultural Affairs and Special Events;Daley Center;06/15/2012;06/15/2012;;Approved
05/30/2012;Department of Cultural Affairs and Special Events;Daley Center;06/19/2012;06/19/2012;;Approved
06/01/2012;German American Services;Daley Center;11/21/2012;12/24/2012;;Approved
06/06/2012;Lithuanian Community ;Daley Center;06/25/2012;06/25/2012;;Approved
06/22/2012;Boss Kane Productions;Daley Center;06/29/2012;06/29/2012;;Withdrew
06/25/2012;Pro-Life Action League;Daley Center;01/22/2013;01/22/2013;;Will Reapply
06/29/2012;Al-Quds Rally;Daley Center;08/17/2012;08/17/2012;;Approved
07/26/2012;Chicago Join Hands;Daley Center;08/24/2012;09/14/2012;;Denied
07/27/2012;Turkish American Cultural Alliance (TACA);Daley Center;09/09/2012;09/12/2012;;Approved
07/31/2012;Michael Ryan Noble;Daley Center;09/08/2012;09/08/2012;;Withdrew
07/31/2012;City Year Chicago;Daley Center;08/03/2012;08/03/2012;;Approved
08/02/2012;Courtside Ministries;Daley Center;08/08/2012;09/12/2012;;Approved
08/07/2012;Department of Cultural Affairs and Special Events;Daley Center;11/02/2012;11/02/2012;;Approved
08/10/2012;Big Rock, LLC;Daley Center;09/23/2012;09/23/2012;;Approved
08/10/2012;Chicago Teacher's Union;Daley Center;09/03/2012;09/03/2012;;Approved
08/29/2012;Nativity Scene Committee;Daley Center;11/24/2012;12/29/2012;;Approved
09/06/2012;Courtside Ministries;Daley Center;09/19/2012;10/31/2012;;Approved
09/07/2012;Michael Ryan Noble;Daley Center;10/06/2012;10/06/2012;;Withdrew
09/10/2012;City Year Chicago;Daley Center;09/14/2012;09/14/2012;;Approved
09/13/2012;Michael Ryan Noble;Daley Center;10/21/2012;10/21/2012;;Approved
09/13/2012;New Schools for Chicago;Daley Center;09/18/2012;09/18/2012;;Approved
09/14/2012;Pro-Life Action League;Daley Center;10/20/2012;10/20/2012;;Approved
09/18/2012;Ali Bakhtiari;Daley Center;09/29/2012;09/29/2012;;Approved
09/24/2012;Department of Cultural Affairs and Special Events;Daley Center;10/25/2012;10/31/2012;;Approved
10/01/2012;National Dance for Obama;Daley Center;10/13/2012;10/13/2012;;Approved
10/01/2012;Siskel/Jacobs Productions;Daley Center;10/02/2012;10/02/2012;;Approved
10/15/2012;Illinois Fire Services Association;Daley Center;11/13/2012;11/13/2012;;Approved
10/18/2012;Chicago - Kent College of Law ;Daley Center;10/24/2012;10/27/2012;;Withdrew
10/30/2012;Courtside Ministries;Daley Center;11/07/2012;12/28/2012;;Approved
10/30/2012;Department of Cultural Affairs and Special Events;Daley Center;11/20/2012;11/20/2012;;Approved
10/30/2012;MASOM;Daley Center;11/24/2012;11/25/2012;;Approved
11/13/2012;Lubavitch Chabad of the Loop;Daley Center;12/04/2012;12/19/2012;;Approved
12/05/2012;Active Transportation Alliance;Daley Center;01/18/2013;01/18/2013;;Approved
12/06/2012;MASOM;Daley Center;12/30/2012;12/30/2012;;Approved
12/07/2012;Pro-Life Action League;Daley Center;01/22/2013;01/22/2013;;Withdrew
12/12/2012;American Hijab Design Contest;Daley Center;12/17/2012;12/17/2012;;Withdrew
12/19/2012;Courtside Ministries;Daley Center;01/02/2013;01/30/2013;;Approved
01/01/2013;German American Services, Inc.;Daley Center;11/26/2013;12/24/2013;;Approved
01/01/2013;German American Services, Inc.;Daley Center;09/28/2013;10/20/2013;;Withdrew
01/03/2013;International Art Festival - The Realm;Daley Center;08/14/2013;08/16/2013;;Approved
01/03/2013;Committee of French Speaking Societies;Daley Center;07/13/2013;07/13/2013;;Approved
01/07/2013;Department of Cultural Affairs and Special Events;Daley Center;03/12/2013;03/17/2013;;Approved
01/08/2013;The Realm / International Arts Festival;Daley Center;04/14/2013;04/16/2013;;Approved
01/09/2013;Chicago Children's Advocacy Center;Daley Center;04/30/2013;04/30/2013;;Approved
01/09/2013;The ALS Association Greater Chicago Chapter;Daley Center;05/22/2013;05/23/2013;;Approved
01/17/2013;Citizen's Official Services;Daley Center;03/20/2013;03/20/2013;;Approved
01/17/2013;Forest Preserve District of Cook County;Daley Center;06/11/2013;;;Approved
01/22/2013;Chicago Citizen's for Change;Daley Center;01/26/2013;01/26/2013;;Withdrew
01/23/2013;City Year Chicago;Daley Center;01/25/2013;01/25/2013;;Approved
01/25/2013;Rape Victim Advocates;Daley Center;02/14/2013;02/14/2013;;Approved
01/25/2013;Department of Cultural Affairs and Special Events and Chicago Park District;Daley Center;07/24/2013;07/24/2013;;Approved
01/25/2013;Citizen's Official Services;Daley Center;03/22/2013;03/22/2013;;Approved
01/29/2013;Consulate General of Bulgaria;Daley Center;03/03/2013;03/03/2013;;Approved
01/31/2013;Illinois Coalition for Immigrant and Refugee Rights;Daley Center;06/13/2013;06/13/2013;;Approved
02/01/2013;Rehan Rizvi & Safder Hasan;Daley Center;02/04/2013;02/04/2013;;Approved
02/05/2013;Communion and Liberation;Daley Center;03/29/2013;03/29/2013;;Approved
02/07/2013;Croatian American Day;Daley Center;05/10/2013;05/10/2013;;Approved
02/11/2013;City Year Chicago;Daley Center;02/15/2013;02/15/2013;;Approved
02/11/2013;City Year Chicago;Daley Center;03/29/2013;03/29/2013;;Approved
02/11/2013;City of Chicago Dept. Of Business Affairs & Consumer Protection - World Fair Trade Event;Daley Center;05/07/2013;05/08/2013;;Approved
02/12/2013;City of Chicago and Chicago Cares;Daley Center;06/15/2013;06/15/2013;;Approved
02/13/2013;Chicago Tea Party;Daley Center;04/15/2013;04/15/2013;;Approved
02/14/2013;Department of Cultural Affairs and Special Events ;Daley Center;02/20/2013;05/06/2013;;Approved
02/14/2013;Nehemiah Leaders;Daley Center;05/01/2013;05/01/2013;;Approved
02/20/2013;The Episcopal Diocese of Chicago;Daley Center;03/22/2013;03/22/2013;;Approved
02/21/2013;Chicago Teachers Union;Daley Center;03/27/2013;03/27/2013;;Approved
02/25/2013;The Divine Mercy Project, Thomas More Society ;Daley Center;03/28/2013;04/07/2013;;Approved
02/28/2013;Disability Pride Parade Association;Daley Center;07/19/2013;07/20/2013;;Approved
02/28/2013;8th Day Center for Justice;Daley Center;03/29/2013;03/29/2013;;Approved
03/01/2013;Jewish United Fund/Jewish Federation of Metropolitan Chicago;Daley Center;11/26/2013;12/13/2013;;Withdrew
03/07/2013;ART = AMMO;Daley Center;03/24/2013;03/24/2013;;Approved
03/20/2013;NE Illinois Lyme Support Network;Daley Center;05/10/2013;05/11/2013;;Approved
03/26/2013;Illinois NoRML;Daley Center;05/04/2013;05/04/2013;;Approved
03/27/2013;Rape Victim Advocates;Daley Center;04/26/2013;04/26/2013;;Approved
04/01/2013;Congregation or Chadash;Daley Center;05/10/2013;05/10/2013;;Approved
04/02/2013;Department of Cultural Affairs and Special Events ;Daley Center;05/25/2013;05/25/2013;;Approved
04/03/2013;City of Chicago - Department of Forestry;Daley Center;04/19/2013;05/03/2013;;Approved
04/11/2013;Judicial Watch, Inc.;Daley Center;04/22/2013;04/22/2013;;Approved
04/17/2013;Sentimiento Boliviano Chicago;Daley Center;08/04/2013;08/04/2013;;Approved
04/18/2013;Awakening America Alliance with Spirit of Liberty Church of God / Cry Out for America;Daley Center;09/11/2013;09/11/2013;;Approved
04/22/2013;City Year Chicago;Daley Center;04/26/2013;04/23/2013;;Approved
04/23/2013;Charter Parents United;Daley Center;05/08/2013;05/08/2013;;Withdrew
04/23/2013;Chicago Teacher's Union Rally;Daley Center;05/20/2013;05/20/2013;;Approved
04/25/2013;Rush Hour Concerts / Make Music Chicago;Daley Center;06/21/2013;06/21/2013;;Approved
04/26/2013;Film  Access License / Jupiter Ascending;Daley Center;05/03/2013;05/03/2013;;Approved
05/06/2013;Ketchum Public Relations;Daley Center;06/27/2013;06/27/2013;;Withdrew
05/06/2013;Philippine General Consulate;Daley Center;06/12/2013;06/12/2013;;Approved
05/07/2013;Cheryl Williams;Daley Center;06/29/2013;06/29/2013;;Denied
05/07/2013;Courtside Ministries;Daley Center;05/08/2013;08/30/2013;;Approved
05/08/2013;Freedom From Religion Foundation;Daley Center;11/26/2013;12/29/2013;;Approved
05/13/2013;DCASE - Portrait of a Soldier Exhibit;Daley Center;05/20/2013;05/20/2013;;Approved
05/15/2013;DCASE - Farmers Market every Thursday;Daley Center;05/16/2013;10/17/2013;;Approved
05/17/2013;Chicago Sister Cities;Daley Center;08/05/2013;08/09/2013;;Withdrew
05/17/2013;City Year Chicago;Daley Center;05/23/2013;05/23/2013;;Approved
05/24/2013;Italian American Chamber of Commerce / Gelato Fest;Daley Center;08/17/2013;08/23/2013;;Withdrew
05/24/2013;Kilimanjaro International / VAICC Harambee Arts and Crafts;Daley Center;08/27/2013;08/28/2013;;Denied
05/31/2013;DIFFA;Daley Center;06/07/2013;06/07/2013;;Approved
06/03/2013;DCASE - Bike Rally;Daley Center;06/14/2013;06/14/2013;;Approved
06/03/2013;DCASE - Tase Preview;Daley Center;06/18/2013;06/18/2013;;Approved
06/11/2013;German American Services, Inc.;Daley Center;06/24/2013;06/24/2013;;Approved
06/19/2013;DCASE - Sidewalk Sale;Daley Center;07/23/2013;07/24/2013;;Approved
06/25/2013;Department of Transportation / Divvy Bike Launch;Daley Center;06/27/2013;06/27/2013;;Approved
06/27/2013;American Heart Association;Daley Center;08/22/2013;08/22/2013;;Approved
06/27/2013;Dance for Life Chicago;Daley Center;08/01/2013;08/01/2013;;Approved
06/28/2013;Chicago Alliance Against Racist & Political Repression;Daley Center;08/28/2013;08/28/2013;;Approved
06/28/2013;Jewish Federation of Metropolitan Chicago;Daley Center;10/20/2013;10/20/2013;;Denied
07/08/2013;Day of Quds;Daley Center;08/02/2013;08/02/2013;;Approved
07/08/2013;Welcome to Africa;Daley Center;09/09/2013;09/10/2013;;Approved
07/12/2013;Kilimanjaro International / Kwanzaa and Christmas Bizarre;Daley Center;12/11/2013;12/13/2013;;Withdrew/Denied
07/15/2013;Chicago Park District / Bowing Event;Daley Center;07/16/2013;07/16/2013;;Approved
07/18/2013;Disability Pride Parade Association - Post Parade Event;Daley Center;07/20/2013;07/20/2013;;Approved
07/23/2013;Canright Communications / Christmas in July;Daley Center;07/29/2013;07/29/2013;;Withdrew
07/23/2013;Rehan Rizvi / Rally;Daley Center;07/26/2013;07/26/2013;;Approved
07/31/2013;Chicago Loop Alliance;Daley Center;09/02/2013;09/02/2013;;Withdrew
08/05/2013;DCASE - Chicagoween;Daley Center;10/23/2013;10/27/2013;;Approved
08/09/2013;American Fallen Warrior Memorial Foundation;Daley Center;09/06/2013;09/06/2013;;Approved
08/09/2013;Constitutional Rights Foundation Chicago / Constitution Day;Daley Center;09/17/2013;09/17/2013;;Approved
08/12/2013;Amdur Productions Art Fest;Daley Center;11/14/2013;11/16/2013;;Withdrew
08/19/2013;DCASE - Wurst Fest;Daley Center;09/18/2013;09/19/2013;;Approved
08/22/2013;Chicago in White;Daley Center;09/22/2013;09/22/2013;;Denied
08/22/2013;DCASE / Food Truck Rally;Daley Center;09/27/2013;09/27/2013;;Approved
08/23/2013;Chicago Alliance  ;Daley Center;08/28/2013;08/28/2013;;Approved
08/27/2013;Courtside Ministries;Daley Center;09/04/2013;12/27/2013;;Approved
08/27/2013;Nativity Scene Committee;Daley Center;11/30/2013;12/28/2013;;Approved
08/28/2013;Purple Light / Pancreatic Cancer Action Network;Daley Center;10/27/2013;10/27/2013;;Withdrew
08/29/2013;Veterans Markets Association;Daley Center;10/14/2013;10/18/2013;;Withdrew
09/04/2013;Cook County Law Library;Daley Center;09/26/2013;09/26/2013;;Approved
09/09/2013;Lubavitch Chabad of the Loop, Gold Coast & Lincoln Park;Daley Center;09/15/2013;09/29/2013;;Approved
09/12/2013;Film Access License / ABC Studios;Daley Center;09/13/2013;09/13/2013;;Approved
09/17/2013;Fierce women of Faith / St. Sabina's;Daley Center;09/24/2013;09/24/2013;;Approved
09/17/2013;Kwanzaa Market / VAAIC;Daley Center;12/11/2013;12/19/2013;;Withdrew
09/18/2013;Archdiocese of Chicago;Daley Center;10/19/2013;10/19/2013;;Approved
10/01/2013;Lubavitch Chabad of the Loop, Gold Coast & Lincoln Park;Daley Center;11/18/2013;12/12/2013;;Approved
10/02/2013;Revolution Books - Coalition Chicago / Richard Newberger;Daley Center;10/22/2013;10/22/2013;;Approved
10/16/2013;Chinese Consolidate3d Benevolent Associate of Chicago;Daley Center;10/18/2013;10/18/2013;;Denied
10/17/2013;CAF - Open House Chicago;Daley Center;10/19/2013;10/19/2013;;Approved
10/17/2013;DCASE / Farmer's Food Day;Daley Center;10/24/2013;10/24/2013;;Approved
10/17/2013;Death to Life;Daley Center;11/02/2013;11/02/2013;;Withdrew
10/28/2013;M.A.S.O.M.;Daley Center;11/14/2013;11/14/2013;;Approved
10/29/2013;Holodomor Memorial / New Ukrainian Wave;Daley Center;11/02/2013;11/02/2013;;Withdrew
11/08/2013;City Year Chicago;Daley Center;11/08/2013;11/08/2013;;Approved
11/14/2013;Lincoln United Methodist Church;Daley Center;11/14/2013;11/14/2013;;Withdrew
11/18/2013;Ahlul Bait Center;Daley Center;12/20/2013;12/20/2013;;Withdrew
11/18/2013;DCASE / Tree Lighting;Daley Center;11/26/2013;11/26/2013;;Approved
11/26/2013;M.A.S.O.M.;Daley Center;12/22/2013;12/22/2013;;Approved
12/03/2013;Choose Chicago / Filming on Daley Plaza;Daley Center;12/02/2013;12/03/2013;;Approved
01/02/2014;The  American Kidney Fund;Daley Center;08/27/2014;08/17/2014;;Approved
01/03/2014;Citizen's Official Services;Daley Center;03/20/2014;03/20/2014;;Approved
01/03/2014;Citizen's Official Services;Daley Center;03/25/2014;03/25/2014;;Approved
01/03/2014;Citizen's Official Services;Daley Center;03/28/2014;03/28/2014;;Approved
01/10/2014;Illinois NoRML / Rok Steady;Daley Center;05/03/2014;05/03/2014;;Approved
01/13/2014;City Year Chicago;Daley Center;01/31/2014;01/31/2014;;Approved
01/17/2014;Forest Preserves of Cook County;Daley Center;06/17/2014;06/17/2014;;Withdrew
01/21/2014;Courtside Ministries;Daley Center;01/22/2014;04/30/2014;;Approved
01/21/2014;Forest Preserves of Cook County;Daley Center;06/10/2014;06/10/2014;;Approved
01/21/2014;Rape Victim Advocates;Daley Center;04/25/2014;04/25/2014;;Approved
01/23/2014;Chicago Children's Advocacy Center;Daley Center;04/10/2014;04/10/2014;;Approved
01/24/2014;DCASE / City Birthday;Daley Center;03/04/2014;03/04/2014;;Approved
01/24/2014;Nehemial Leaders;Daley Center;04/30/2014;04/30/2014;;Approved
01/24/2014;Rape Victim Advocates;Daley Center;02/14/2014;02/14/2014;;Approved
01/27/2014;Awakening America Alliance  ;Daley Center;09/11/2014;09/11/2014;;Approved
02/05/2014;American Muslims for Palestine;Daley Center;05/31/2014;05/31/2014;;Withdrew
02/05/2014;Chicago Cares;Daley Center;06/06/2014;06/07/2014;;Approved
